"Hora","D1","D2","D3","D4","D5","D6","D7"
0,0.00104737274516017,0.000851939062639341,0.000776042486903097,0.000893682179294276,0.000916451152015149,0.00137752284961283,0.00146480391170951
1,0.000808298531591001,0.000658402794511919,0.000703940739953665,0.000660300208905325,0.000861426134606372,0.00151034185715126,0.00166782725180397
2,0.000690658839199822,0.0004971225710724,0.000626146749824015,0.000614762263463578,0.000669787280872355,0.00156157204577322,0.00159952033364135
3,0.000645120893758076,0.000413636337762531,0.00043830272487681,0.000436405310483404,0.000595788119529517,0.00140408665112052,0.00183859454721052
4,0.000593890705136111,0.000423123409729562,0.000387072536254846,0.000445892382450435,0.000510404471826242,0.00137752284961283,0.00166403242301715
5,0.000358611320353754,0.000307381131731789,0.000261843186290043,0.000301688888551571,0.000339637176419693,0.000690658839199822,0.000965783926243708
6,0.000383277707468033,0.000309278546125195,0.000294099230977946,0.000275125087043885,0.000381380293074627,0.00053127603015371,0.000616659677856984
7,0.00047245618395812,0.000512301886219649,0.000529378615760303,0.000559737246054801,0.000489532913498775,0.000421225995336155,0.000449687211237247
8,0.000671684695265761,0.000671684695265761,0.000741889027821787,0.000753273514182224,0.000673582109659167,0.000563532074841613,0.000554045002874583
9,0.000639428650577858,0.000705838154347071,0.000662197623298731,0.000694453667986635,0.000713427811920696,0.000694453667986635,0.000500917399859212
10,0.00068686401041301,0.000772247658116285,0.000698248496773447,0.000747581271002006,0.000671684695265761,0.000679274352839386,0.000776042486903097
11,0.000827272675525062,0.000791221802050346,0.000779837315689909,0.000776042486903097,0.00071153039752729,0.000736196784641569,0.000795016630837158
12,0.000869015792179996,0.000774145072509691,0.000817785603558031,0.000804503702804189,0.000796914045230564,0.000806401117197595,0.000944912367916241
13,0.000815888189164625,0.000950604611096459,0.000922143395195367,0.000842451990672311,0.000887989936114057,0.00079881145962397,0.000859528720212966
14,0.00113085897847004,0.00109480810499532,0.00104547533076676,0.00106634688909423,0.00108342361863489,0.000819683017951438,0.000943014953522834
15,0.00130162627387659,0.00123521677010737,0.00121434521177991,0.0013357797329579,0.0011175770777162,0.000887989936114057,0.00114793570801069
16,0.00123331935571397,0.00122572969814034,0.00125039608525462,0.00125988315722165,0.00109670551938873,0.00108532103302829,0.00122952452692716
17,0.00124660125646781,0.00117639692391179,0.00118967882466563,0.0011498331224041,0.00119537106784585,0.00106824430348764,0.00115742277997772
18,0.00118778141027222,0.00132629266099087,0.00124849867086122,0.00122003745496013,0.00123901159889419,0.00120865296859969,0.00118778141027222
19,0.00113085897847004,0.00110050034817554,0.00120865296859969,0.00114793570801069,0.00127126764358209,0.00117070468073157,0.00124660125646781
20,0.00129024178751615,0.00122383228374694,0.00122952452692716,0.00124090901328759,0.00124090901328759,0.00132249783220406,0.00127695988676231
21,0.00107962878984807,0.00110239776256895,0.00132819007538427,0.00118778141027222,0.00129593403069637,0.00131301076023703,0.0012124477973865
22,0.000998039970931611,0.000952502025489865,0.00114793570801069,0.00114034605043707,0.00147998322685676,0.00138131767839964,0.00120296072541947
23,0.00102080894365248,0.000984758070177769,0.00104168050197995,0.00109670551938873,0.00143634269580842,0.00141926596626777,0.0012124477973865
